topic,lecture-01,lecture-02,lecture-03,lecture-04,lecture-05,lecture-06,lecture-07,lecture-08,lecture-09,lecture-10,lecture-11,lecture-12,lecture-13,lecture-14,lecture-15,lecture-16,lecture-17,lecture-18,lecture-19,lecture-20,lecture-21,lecture-22,lecture-23,lecture-24,lecture-25,lecture-26,lecture-27,lecture-28,lecture-29,lecture-30,lecture-31,lecture-32,total,beginner,foundational,intermediate,advanced,expert
Problem formulation & requirements,3; 1/0/1/0/1,2; 0/0/1/0/1,2; 0/1/1/0/0,3; 1/0/1/1/0,0; 0/0/0/0/0,0; 0/0/0/0/0,2; 0/1/1/0/0,2; 1/1/0/0/0,2; 1/0/1/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,2; 0/2/0/0/0,2; 0/0/2/0/0,0; 0/0/0/0/0,2; 0/2/0/0/0,5; 1/2/1/1/0,1; 0/0/1/0/0,0; 0/0/0/0/0,1; 0/1/0/0/0,0; 0/0/0/0/0,1; 0/1/0/0/0,0; 0/0/0/0/0,1; 0/0/1/0/0,0; 0/0/0/0/0,1; 0/0/1/0/0,0; 0/0/0/0/0,1; 0/1/0/0/0,1; 0/0/0/0/1,0; 0/0/0/0/0,3; 1/1/1/0/0,0; 0/0/0/0/0,4; 1/1/1/1/0,41,7,14,14,3,3
Decomposition & abstraction,2; 1/1/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,1; 0/0/1/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,1; 1/0/0/0/0,1; 0/0/0/0/1,0; 0/0/0/0/0,0; 0/0/0/0/0,1; 0/0/0/1/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,6,2,1,1,1,1
Patterns & sequences,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,2; 0/1/0/1/0,3; 1/1/1/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,1; 0/0/0/1/0,0; 0/0/0/0/0,1; 0/0/1/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,1; 1/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,1; 0/0/0/1/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,1; 0/0/0/1/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,10,2,2,2,4,0
Loops & iteration,0; 0/0/0/0/0,0; 0/0/0/0/0,2; 1/0/1/0/0,0; 0/0/0/0/0,1; 0/1/0/0/0,3; 1/1/1/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,1; 1/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,1; 0/0/0/1/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,8,3,2,2,1,0
Conditionals & decisions,0; 0/0/0/0/0,0; 0/0/0/0/0,2; 0/1/0/1/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,1; 0/0/0/0/1,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,3,0,1,0,1,1
Pseudocode & flowcharts,0; 0/0/0/0/0,4; 1/1/1/0/1,4; 1/1/1/1/0,4; 1/1/1/1/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,12,3,3,3,2,1
Functions & modular design,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,4; 1/1/1/0/1,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,4,1,1,1,0,1
Arrays & lists,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,1; 0/1/0/0/0,4; 1/1/1/1/0,1; 0/0/1/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,1; 1/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,7,2,2,2,1,0
Strings & text,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,4; 1/1/1/1/0,0; 0/0/0/0/0,1; 0/0/1/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,1; 0/1/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,3; 1/1/1/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,1; 0/0/1/0/0,10,2,3,4,1,0
Dictionaries & sets,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,4; 1/1/1/0/1,0; 0/0/0/0/0,0; 0/0/0/0/0,1; 1/0/0/0/0,0; 0/0/0/0/0,1; 1/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,1; 0/1/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,7,3,2,1,0,1
Searching (linear & binary),0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,4; 1/1/1/0/1,0; 0/0/0/0/0,0; 0/0/0/0/0,1; 1/0/0/0/0,4; 1/1/1/0/1,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,0; 0/0/0/0/0,1; 0/0/0/0/1,0; 0/0/0/0/0,0; 0/0/0/0/0,10,3,2,2,0,3
